category,distance
C1,84.0447067059033
C1,86.1885428303125
C1,88.9215826448166
C1,87.6405553841934
C1,85.6046664790749
C1,87.7358254107821
C1,85.3396684054732
C1,72.6531665129439
C1,87.4897965496147
C1,85.708606286561
C1,89.6963143230549
C1,82.0968224097212
C1,88.8554415805304
C1,85.6183019535693
C1,81.8600780688811
C1,80.2228506640788
C1,85.1938067647653
C1,79.1111566750213
C1,79.572907549745
C1,90.1674190237627
C1,78.0838937634901
C1,83.1738962010058
C1,81.3513568380992
C1,76.2314716322598
C1,74.0391692107958
C1,82.4178216379182
C1,79.463025892944
C1,83.8682452389534
C1,87.368166506687
C1,87.0123626702123
C1,80.4247353310273
C1,86.7928814779748
C1,70.860592149853
C1,89.017043589624
C2,81.960213891169
C2,88.3226305594344
C2,78.3927373029713
C2,89.4833896839687
C2,82.6357538875382
C2,87.7358254107821
C2,83.3617311956999
C2,89.7188213954954
C2,77.0268257361381
C2,85.8267409875046
C2,92.1878147137572
C2,87.0880108193474
C2,86.6165814789389
C2,80.3814254826805
C2,80.2433822085702
C2,78.9660171582258
C2,85.5363353444301
C2,82.429068021864
C2,82.5975093110055
C2,81.3513568380992
C2,78.553393831391
C2,84.6253780707534
C2,80.9312692192363
C2,79.3469343641193
C2,81.9064693658738
C2,81.0357288699338
C2,78.6417465596178
C2,82.7408263748894
C3,81.960213891169
C3,88.3226305594344
C3,88.9215826448166
C3,87.6405553841934
C3,87.4688689052997
C3,87.2218467910497
C3,86.4642629215025
C3,76.2430937386352
C3,83.7039885049865
C3,77.490972688716
C3,72.6531665129439
C3,87.4897965496147
C3,85.708606286561
C3,92.1007799463297
C3,82.7811943516806
C3,92.6208101917913
C3,85.1938067647653
C3,80.2433822085702
C3,78.9660171582258
C3,90.1674190237627
C3,78.0838937634901
C3,82.01651460416
C3,87.7488862168313
C3,81.6053108633314
C3,74.7817182819081
C3,81.4021721840243
C3,82.9752272303367
C3,74.0391692107958
C3,82.4178216379182
C3,79.463025892944
C3,84.5282602210114
C3,78.5617205274186
C3,86.8460468448151
C3,89.017043589624
C4,86.5062265999441
C4,86.1885428303125
C4,88.9215826448166
C4,88.755264576038
C4,76.2430937386352
C4,83.7039885049865
C4,77.490972688716
C4,72.6531665129439
C4,87.4897965496147
C4,74.6266601417458
C4,89.6963143230549
C4,81.8600780688811
C4,92.6208101917913
C4,81.4822363913566
C4,79.572907549745
C4,90.1674190237627
C4,85.3737434511355
C4,74.7817182819081
C4,81.4021721840243
C4,82.9752272303367
C4,74.0391692107958
C4,82.4178216379182
C4,73.6495829609819
C4,83.8682452389534
C4,86.7928814779748
C4,86.8460468448151
C5,81.960213891169
C5,88.3226305594344
C5,87.0009626277396
C5,85.8622848597476
C5,84.4050880316816
C5,82.9319711520318
C5,86.4964844759974
C5,84.1665713772365
C5,87.4897965496147
C5,85.708606286561
C5,75.3845029720046
C5,87.0880108193474
C5,85.4561436288283
C5,82.8349291482616
C5,82.7811943516806
C5,80.2228506640788
C5,80.2433822085702
C5,78.9660171582258
C5,84.7809140374134
C5,75.9792764104885
C5,79.4068296716237
C5,80.2554189580388
C5,73.9906863780358
C5,86.5366847979462
C5,82.4178216379182
C5,79.463025892944
C5,75.1676112182377
C5,81.0357288699338
C5,79.2402900119815
C5,83.8331806998496
C5,78.5617205274186
C5,70.860592149853
C6,86.5062265999441
C6,86.3636898034289
C6,82.7054525259156
C6,85.8622848597476
C6,84.2862061039485
C6,82.8954111335559
C6,77.490972688716
C6,72.6531665129439
C6,87.0880108193474
C6,85.4561436288283
C6,85.6183019535693
C6,85.4578379100988
C6,81.4822363913566
C6,83.3904531378654
C6,86.9008033870877
C6,75.9792764104885
C6,72.6404776780297
C6,79.3527571897117
C6,82.9752272303367
C6,74.0391692107958
C6,81.0357288699338
C6,79.2402900119815
C6,80.4247353310273
C6,81.7861474331464
C7,86.5062265999441
C7,88.3226305594344
C7,78.3927373029713
C7,79.2566572972919
C7,86.6462624156443
C7,76.6672294373689
C7,86.4964844759974
C7,84.1665713772365
C7,87.4897965496147
C7,85.708606286561
C7,80.3905234440522
C7,82.0968224097212
C7,88.8554415805304
C7,80.2925699299489
C7,81.0971108134568
C7,81.4822363913566
C7,78.9660171582258
C7,85.5363353444301
C7,82.9086684899011
C7,80.3055155287506
C7,82.1787487356303
C7,73.9906863780358
C7,86.5366847979462
C7,82.4178216379182
C7,79.463025892944
C7,83.1790906141032
C7,87.368166506687
C7,87.0123626702123
C7,80.9638661156317
C7,86.8302989824602
C8,86.5062265999441
C8,82.6357538875382
C8,87.2218467910497
C8,86.4964844759974
C8,72.6531665129439
C8,76.3587741222765
C8,79.4343659058238
C8,89.1777261938486
C8,82.6427450321427
C8,81.4822363913566
C8,82.5975093110055
C8,87.7488862168313
C8,73.9906863780358
C8,74.0391692107958
C8,77.9013048759148
C8,73.7737658700612
C8,85.2282739966048
C8,78.1403623060637
C9,84.0447067059033
C9,89.2797369573479
C9,88.9215826448166
C9,76.1239276444137
C9,84.4050880316816
C9,83.7039885049865
C9,77.490972688716
C9,92.1878147137572
C9,86.034937416968
C9,79.4343659058238
C9,89.1777261938486
C9,81.8600780688811
C9,80.2228506640788
C9,85.1938067647653
